((28.86242681469858, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.86252681469858, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.862626814698579, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.862726814698579, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.862826814698579, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.862926814698579, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.863026814698578, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.863126814698578, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.863226814698578, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.863326814698578, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.863426814698578, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.863526814698577, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.863626814698577, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.863726814698577, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.863826814698577, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.863926814698576, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.864026814698576, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.864126814698576, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.864226814698576, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.864326814698575, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.864426814698575, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.864526814698575, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.864626814698575, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.864726814698574, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.864826814698574, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.864926814698574, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.865026814698574, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.865126814698574, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.865226814698573, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.865326814698573, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.865426814698573, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.865526814698573, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.865626814698572, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.865726814698572, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.865826814698572, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.865926814698572, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.866026814698571, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.866126814698571, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.866226814698571, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.866326814698571, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.866426814698571, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.86652681469857, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.86662681469857, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.86672681469857, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.86682681469857, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.866926814698569, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.867026814698569, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.867126814698569, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.867226814698569, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.867326814698568, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.867426814698568, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.867526814698568, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.867626814698568, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.867726814698567, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.867826814698567, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.867926814698567, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.868026814698567, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.868126814698567, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.868226814698566, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.868326814698566, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.868426814698566, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.868526814698566, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.868626814698565, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.868726814698565, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.868826814698565, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.868926814698565, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.869026814698564, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.869126814698564, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.869226814698564, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.869326814698564, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.869426814698564, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.869526814698563, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.869626814698563, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.869726814698563, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.869826814698563, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.869926814698562, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.870026814698562, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
((28.870126814698562, 76.788067138671892), u'Morkheri, Sampla, Rohtak District, Haryana')
